,TRANS_CIS,SEX,GENDER_IDENTITY,SURVEYCOMPLETED,Q82,Q84
904,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
905,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
906,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
907,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
908,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
909,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
910,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
911,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
912,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
913,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
914,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
915,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
916,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
917,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
918,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
919,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
920,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
921,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
922,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
923,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
924,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
925,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
926,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
927,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
928,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
929,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
930,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
931,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
932,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
933,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
935,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
937,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
938,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
939,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
940,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
941,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
942,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
943,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
944,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
945,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
946,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
947,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
948,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
949,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
951,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
952,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
953,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
954,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
955,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
958,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
959,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
960,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
961,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
962,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
963,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
964,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
965,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
966,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
967,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
968,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
969,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
970,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
971,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
972,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
973,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
974,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
975,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
976,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
977,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
978,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
979,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
980,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
981,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
982,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
983,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very dissatisfied
984,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
985,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
986,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
987,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
988,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
989,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
990,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
991,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
992,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
993,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
994,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
995,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
996,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
997,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
999,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1000,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1002,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
1003,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1004,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1006,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1007,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1008,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1009,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1010,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1011,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1012,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1013,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1014,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1015,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1016,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1017,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1019,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1020,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1021,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1022,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1023,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1024,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1025,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1026,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1028,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1030,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1031,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1032,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1033,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1034,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1035,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1036,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1037,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1038,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1039,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1040,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1042,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1043,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1044,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1045,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1046,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1047,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1048,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1049,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1050,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1051,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1052,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1053,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1054,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1055,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1056,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1057,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1058,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1059,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
1060,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1061,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1062,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1063,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1066,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1067,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1068,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1069,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1070,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1071,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1072,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1074,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1075,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1076,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1077,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1078,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1079,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1080,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1081,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1083,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1085,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1086,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1087,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1088,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1089,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1090,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1091,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1092,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1093,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1094,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1095,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1096,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1097,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1098,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1099,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1100,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1101,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1102,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1104,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1105,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1106,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1107,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1108,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1109,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1111,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1114,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1115,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1117,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1118,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1119,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1120,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1121,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1122,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1124,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1125,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1126,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1127,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly dissatisfied
1128,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1129,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1130,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1131,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1132,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1133,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1134,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1135,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1136,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1137,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1138,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1139,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1140,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1141,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1143,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1144,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1145,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1146,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1147,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1148,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1149,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1150,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1151,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1152,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1153,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1154,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1155,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1157,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1158,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1159,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1160,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1161,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1162,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1163,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1164,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1165,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1166,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1169,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very dissatisfied
1170,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1171,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1172,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1173,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1174,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1175,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1176,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1177,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1178,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1179,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1180,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1181,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1182,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1183,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1184,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1185,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1186,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1187,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1188,Cis,Male,Cis man,2,"Yes, there are one or more places",Very dissatisfied
1189,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1190,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1191,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1193,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1194,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1195,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
1196,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1197,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1198,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1199,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly dissatisfied
1200,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1201,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1202,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1203,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1204,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1205,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1206,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1207,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1208,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1209,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1210,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1211,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1212,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1213,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1215,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1217,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1218,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1219,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1220,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1221,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1222,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1223,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1224,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1226,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1227,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1229,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1230,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1232,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1233,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1234,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1236,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1237,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1241,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1242,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
1243,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1244,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1245,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1246,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1247,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1248,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1249,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1250,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1251,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1252,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1253,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1254,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1256,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1257,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1258,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1259,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1260,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1261,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1262,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1264,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1265,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1267,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1268,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1269,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1270,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1271,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very dissatisfied
1272,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
1273,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1274,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1275,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly dissatisfied
1276,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1277,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1278,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1279,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1280,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1281,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1282,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1283,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1284,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1285,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1286,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1287,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1288,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1289,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1290,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1291,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1292,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1293,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1294,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1295,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1296,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1297,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1298,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1299,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1300,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1301,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1302,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1303,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1304,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1305,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1306,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1309,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1311,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1312,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1313,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1314,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1315,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
1316,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1317,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1318,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
1319,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
1320,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
1321,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
